trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2695,False,"{'a': 0.002, 'e': 0.004561973335735096}",25,8,32.16045393797928,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2696,False,"{'a': 0.002, 'e': 0.004552858506930703}",25,7,27.822297966302443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2697,False,"{'a': 0.002, 'e': 0.004543761889566413}",20,0,36.287488825718114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2698,False,"{'a': 0.002, 'e': 0.004534683447255739}",20,10,19.832786769118258,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2699,False,"{'a': 0.002, 'e': 0.0045256231436849}",30,13,30.16102467109163,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2700,False,"{'a': 0.002, 'e': 0.004516580942612666}",25,14,23.58804131363403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2701,False,"{'a': 0.002, 'e': 0.004507556807870229}",20,12,13.470408813284406,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2702,False,"{'a': 0.002, 'e': 0.004498550703361034}",30,21,19.781223230023606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2703,False,"{'a': 0.002, 'e': 0.004489562593060649}",20,2,32.21713752576376,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2704,False,"{'a': 0.002, 'e': 0.004480592441016619}",25,0,39.1915294297834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2705,False,"{'a': 0.002, 'e': 0.004471640211348332}",30,21,15.440468046337415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2706,False,"{'a': 0.002, 'e': 0.004462705868246852}",20,9,17.47201528975536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2707,False,"{'a': 0.002, 'e': 0.004453789375974795}",20,12,17.00400321559737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2708,False,"{'a': 0.002, 'e': 0.004444890698866177}",25,10,25.559984726718746,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2709,False,"{'a': 0.002, 'e': 0.004436009801326284}",30,3,37.223123372225125,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2710,False,"{'a': 0.002, 'e': 0.004427146647831511}",25,10,24.502056663652052,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2711,False,"{'a': 0.002, 'e': 0.004418301202929234}",20,10,22.230841287602487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2712,False,"{'a': 0.002, 'e': 0.004409473431237654}",20,12,10.494586387383896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2713,False,"{'a': 0.002, 'e': 0.004400663297445683}",25,5,30.598537587864875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2714,False,"{'a': 0.002, 'e': 0.004391870766312768}",20,12,15.01630163009327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
